50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.79437,,,,,,,,,,,,,,,cba86085-b52c-4e9d-af52-66d1f9785a1b,1795,,"[97.6, 56.2]",3869685,45,,,,0.5667292,,Right Foot,,,"[105.3, 61.1]",,Ground Pass,,9.1268835,,,Julián Álvarez,29560.0,,,,,,2,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Center Midfield,80,Argentina,779,['d575a43d-074b-42a6-826c-53136c2f5c91'],39,,,,,,,,,,,,,,,,,Argentina,779,00:00:39.869,Pass,
,,,,,,,,,,,,,,,,,,,,1.408643,,,,,,,,,,,,,,,14f68bb9-ed88-4fa5-964d-a760d4366210,1798,,"[100.1, 62.8]",3869685,45,,,,-2.5439565,,Right Foot,,,"[88.2, 54.7]",,Ground Pass,,14.395138,,,Enzo Fernandez,38718.0,,,,,,2,From Kick Off,Julián Álvarez,29560.0,Center Forward,80,Argentina,779,['c670955e-51e8-4f7f-8074-dfac1ea126ae'],41,,,,,,,,,,,,,,,,,Argentina,779,00:00:41.938,Pass,
,,,,,,,,,,,,,,,,,,,,2.123079,,,,,,,,,,,,,,,822c0015-2ee4-4796-876d-f421019c1c8f,1801,,"[87.7, 53.0]",3869685,45,,,,-0.43004683,,Right Foot,,,"[111.9, 41.9]",,High Pass,,26.624237,Incomplete,,Alexis Mac Allister,27886.0,,,Through Ball,True,,2,From Kick Off,Enzo Fernandez,38718.0,Center Defensive Midfield,80,Argentina,779,"['4b964ca0-7b2a-4126-9996-223b7635494c', 'dc817e9c-5634-4078-9ce7-92f45eab6ea4']",44,,,,,,,,,,,,,,,,,Argentina,779,00:00:44.161,Pass,
,,,,,,,,,,,,,,,,,,,,2.033712,,,,,,,,,,,,,,,871d0e12-c454-4eb8-bb82-e4fcde28e1c8,1804,,"[11.6, 39.7]",3869685,45,True,,,-1.0893615,,Keeper Arm,,,"[27.9, 8.5]",,Low Pass,,35.20128,,,Theo Bernard François Hernández,6704.0,,,,,,2,From Keeper,Hugo Lloris,3099.0,Goalkeeper,81,France,771,['7487033b-7ea9-431c-afe7-e44faf7099ca'],58,,,,,,,,,,,,,,,,,France,771,00:00:58.225,Pass,
,,,,,,,,,,,,,,,,,,,,1.038435,,,,,,,,,,,,,,,5953fb20-88ca-43e8-b598-7f603386fac5,1807,,"[80.3, 80.0]",3869685,46,,,,-0.81291413,,,,,"[90.9, 68.8]",,Low Pass,,15.420765,Incomplete,,Julián Álvarez,29560.0,,,,,Throw-in,2,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,82,Argentina,779,"['7d913561-aeb9-46d1-99bc-12ef78185737', '7f3390fd-e949-4a32-bc46-8244e73ad481']",27,,,,,,,,,,,,,,,,,Argentina,779,00:01:27.050,Pass,
,,,,,,,,,,,,,,,,,,,,2.024954,,,,,,,,,,,,,,,b2620ab1-b703-48bc-8e79-c266bb942540,1810,,"[36.6, 11.7]",3869685,46,,,,1.9733498,,Right Foot,,,"[23.4, 42.7]",,High Pass,,33.69332,,,Jules Koundé,4445.0,,,,,Recovery,2,Regular Play,Marcus Thuram,2972.0,Left Wing,83,France,771,['5dbd7e56-dd40-4ce8-843b-76d119ccf1d7'],29,,,,,,,,,,,,,,,,,France,771,00:01:29.193,Pass,
,,,,,,,,,,,,,,,,,,,,0.097458,,,,,,,,,,,,,,,1ffc7b1a-f71d-4e72-bfab-6907c6e71d7e,1816,,"[61.9, 71.2]",3869685,46,,,,-0.07878396,,Right Foot,,,"[65.7, 70.9]",,Ground Pass,,3.8118236,Incomplete,,,,,,,,,2,Regular Play,Jules Koundé,4445.0,Right Back,83,France,771,['3de7e6a7-9178-4225-bcdf-01c81360e560'],41,,,,,,,,,,,,,,,,,France,771,00:01:41.485,Pass,
,,,,,,,,,,,,,,,,,,,,1.886218,,,,,,,,,,,,,,,81b7f417-992f-4c46-8619-14555a2abd6d,1819,,"[42.4, 73.9]",3869685,46,,,,-2.1785984,,Left Foot,,,"[29.6, 55.5]",,Ground Pass,,22.414282,,,Raphaël Varane,5485.0,,,,,Recovery,2,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,83,France,771,"['3844bd06-ef2c-49aa-ba9d-c79e1ff5e22d', 'f195f35c-cd8d-4263-b6b7-8f779b23bce5']",44,,,,,,,,,,,,,,,,,France,771,00:01:44.482,Pass,True
,,,,,,,,,,,,,,,,,,,,1.663858,,,,,,,,,,,,,,,4e6c39a3-98c8-4688-8e06-a75f75f40df1,1823,,"[24.4, 55.5]",3869685,46,,,,-1.0822428,,Right Foot,,,"[36.2, 33.3]",,Ground Pass,,25.141201,,,Dayotchanculle Upamecano,8519.0,,,,,,2,Regular Play,Raphaël Varane,5485.0,Right Center Back,83,France,771,['4d13f87c-0cb7-452d-95a3-7081abaa9e87'],49,,,,,,,,,,,,,,,,,France,771,00:01:49.107,Pass,
,,,,,,,,,,,,,,,,,,,,1.02054,,,,,,,,,,,,,,,a25c6fcc-ac7b-4fea-9b7b-4dfb56d97480,1826,,"[43.5, 30.3]",3869685,46,,,,0.6219217,,Left Foot,,,"[54.8, 38.4]",,Ground Pass,,13.903237,,,Aurélien Djani Tchouaméni,10481.0,,,,,,2,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,83,France,771,['625f0653-918e-4d07-a125-33fba5eaaed4'],52,,,,,,,,,,,,,,,,,France,771,00:01:52.902,Pass,
,,,,,,,,,,,,,,,,,,,,2.05541,,,,,,,,,,,,,,,4ebbbca8-a7c8-4b9d-9ee2-54c557bc23e7,1830,,"[56.1, 32.0]",3869685,46,,,,-1.7472632,,Right Foot,,,"[51.0, 3.4]",,Ground Pass,,29.051163,,,Theo Bernard François Hernández,6704.0,,,,,,2,Regular Play,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,83,France,771,"['654e7c5b-33b0-47db-b1be-e0dc2b3e16a9', '8ff5e662-8e9d-49a6-8a3f-2ebfd0d94f0c']",55,,,,,,,,,,,,,,,,,France,771,00:01:55.265,Pass,True
,,,,,,,,,,,,,,,,,,,,1.167769,,,,,,,,,,,,,,,91df6ce0-cfbe-4efd-b182-4bc580bdca53,1833,,"[52.7, 3.1]",3869685,46,,,,-0.022595024,,Left Foot,,,"[70.4, 2.7]",,Ground Pass,,17.70452,,,Marcus Thuram,2972.0,,,,,,2,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,83,France,771,['87b88565-ae28-4a4b-a0fe-2b51f48841a8'],58,,,,,,,,,,,,,,,,,France,771,00:01:58.671,Pass,
