match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3857290,2022-11-24,12:00:00.000,International - FIFA World Cup,2022,Switzerland,Cameroon,1,0,available,available,2023-02-28T18:50:54.855427,2023-04-27T00:35:35.819237,1,Group Stage,Al Janoub Stadium   ,Facundo Tello Figueroa,Murat Yakin,Rigobert Song Bahanag,1.1.0,2,2
3857285,2022-11-21,18:00:00.000,International - FIFA World Cup,2022,Senegal,Netherlands,0,2,available,available,2023-06-03T18:25:09.879323,2023-06-20T10:37:16.264240,1,Group Stage,Al Thumama Stadium,Wilton Pereira Sampaio,Aliou Cissé,Louis van Gaal,1.1.0,2,2
3857281,2022-11-27,18:00:00.000,International - FIFA World Cup,2022,Croatia,Canada,4,1,available,available,2023-02-20T14:54:24.414208,2023-04-27T00:08:24.530337,2,Group Stage,Sheikh Khalifa International Stadium,Andrés Matonte,Zlatko Dalić,John Herdman,1.1.0,2,2
3857280,2022-12-02,21:00:00.000,International - FIFA World Cup,2022,Cameroon,Brazil,1,0,available,available,2023-02-19T06:21:58.854769,2023-04-26T23:48:44.801077,3,Group Stage,Lusail Stadium,Ismail Elfath,Rigobert Song Bahanag,Adenor Leonardo Bacchi,1.1.0,2,2
3857279,2022-11-22,21:00:00.000,International - FIFA World Cup,2022,France,Australia,4,1,available,available,2023-03-06T16:39:23.739115,2023-04-27T00:50:47.673065,1,Group Stage,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,Didier Deschamps,Graham James Arnold,1.1.0,2,2
3857278,2022-11-29,21:00:00.000,International - FIFA World Cup,2022,Iran,United States,0,1,available,available,2023-03-18T21:59:05.797846,2023-06-20T12:32:23.990635,3,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Carlos Manuel Brito Leal Queiróz,Gregg Berhalter,1.1.0,2,2
3857277,2022-11-23,12:00:00.000,International - FIFA World Cup,2022,Morocco,Croatia,0,0,available,available,2023-05-07T22:19:04.424829,2023-05-19T14:33:42.362037,1,Group Stage,Al Bayt Stadium,Fernando Andrés Rapallini,Walid Regragui,Zlatko Dalić,1.1.0,2,2
3857276,2022-12-01,17:00:00.000,International - FIFA World Cup,2022,Canada,Morocco,1,2,available,available,2023-03-18T21:14:12.434943,2023-05-29T20:30:36.467703,3,Group Stage,Al Thumama Stadium,Raphael Claus,John Herdman,Walid Regragui,1.1.0,2,2
3857275,2022-11-30,17:00:00.000,International - FIFA World Cup,2022,Tunisia,France,1,0,available,available,2023-03-18T23:34:23.958010,2023-04-26T23:57:14.658536,3,Group Stage,Education City Stadium ,Matthew Conger,Jalel Kadri,Didier Deschamps,1.1.0,2,2
3857274,2022-11-25,18:00:00.000,International - FIFA World Cup,2022,Netherlands,Ecuador,1,1,available,available,2023-02-08T14:47:43.378381,2023-04-27T00:32:27.606676,2,Group Stage,Sheikh Khalifa International Stadium,Mustapha Ghorbal,Louis van Gaal,Gustavo Julio Alfaro,1.1.0,2,2
3857273,2022-11-25,12:00:00.000,International - FIFA World Cup,2022,Wales,Iran,0,2,available,available,2023-03-30T20:20:27.964943,2023-05-14T18:53:04.804401,2,Group Stage,Ahmad bin Ali Stadium,Mario Alberto Escobar Toca,Robert Page,Carlos Manuel Brito Leal Queiróz,1.1.0,2,2
3857272,2022-11-25,21:00:00.000,International - FIFA World Cup,2022,England,United States,0,0,available,available,2022-12-02T07:56:28.791940,2022-12-08T05:22:48.650006,2,Group Stage,Al Bayt Stadium,Jesús Valenzuela Sáez,Gareth Southgate,Gregg Berhalter,1.1.0,2,2
3857271,2022-11-21,15:00:00.000,International - FIFA World Cup,2022,England,Iran,6,2,available,available,2023-06-07T18:13:08.086293,2023-06-18T15:37:14.539174,1,Group Stage,Sheikh Khalifa International Stadium,Raphael Claus,Gareth Southgate,Carlos Manuel Brito Leal Queiróz,1.1.0,2,2
3857268,2022-11-23,21:00:00.000,International - FIFA World Cup,2022,Belgium,Canada,1,0,available,available,2023-08-12T16:44:27.619465,2023-08-12T16:48:09.197442,1,Group Stage,Ahmad bin Ali Stadium,Janny Sikazwe,Roberto Martínez Montoliú,John Herdman,1.1.0,2,2
3857265,2022-11-22,18:00:00.000,International - FIFA World Cup,2022,Mexico,Poland,0,0,available,available,2023-04-19T06:53:07.045195,2023-04-27T00:49:30.005344,1,Group Stage,Stadium 974,Chris Beath,Gerardo Daniel Martino,Czesław Michniewicz,1.1.0,2,2
3857262,2022-12-02,17:00:00.000,International - FIFA World Cup,2022,South Korea,Portugal,2,1,available,available,2023-03-17T22:58:19.035038,2023-04-26T23:48:08.999798,3,Group Stage,Education City Stadium ,Facundo Tello Figueroa,Paulo Jorge Gomes Bento,Fernando Manuel Fernandes da Costa Santos,1.1.0,2,2
3857261,2022-11-29,21:00:00.000,International - FIFA World Cup,2022,Wales,England,0,3,available,available,2023-03-27T07:45:00.892102,2023-04-27T00:02:44.241621,3,Group Stage,Ahmad bin Ali Stadium,Slavko Vinčić,Robert Page,Gareth Southgate,1.1.0,2,2
3857255,2022-12-01,21:00:00.000,International - FIFA World Cup,2022,Japan,Spain,2,1,available,available,2023-03-30T12:03:47.965683,2023-04-26T23:51:48.352990,3,Group Stage,Sheikh Khalifa International Stadium,Victor Miguel de Freitas Gomes,Hajime Moriyasu,Luis Enrique Martínez García,1.1.0,2,2
3857254,2022-11-22,15:00:00.000,International - FIFA World Cup,2022,Denmark,Tunisia,0,0,available,available,2023-07-29T19:43:11.994339,2023-07-29T19:44:56.738444,1,Group Stage,Education City Stadium ,César Arturo Ramos Palazuelos,Kasper Hjulmand,Jalel Kadri,1.1.0,2,2
